adopted,animal_type,sex,intake_condition,intake_type,age_years
0,dog,Female,ill mild,stray,9.995893223819301
0,cat,Female,injured severe,stray,4
1,rabbit,Neutered,normal,stray,1.5003422313483916
0,cat,Unknown,under age/weight,stray,0.08487337440109514
0,dog,Spayed,other,owner surrender,17.00205338809035
0,cat,Female,normal,stray,3.0006844626967832
0,cat,Unknown,under age/weight,stray,0.0054757015742642025
0,cat,Unknown,under age/weight,stray,0.08487337440109514
0,cat,Unknown,under age/weight,stray,0.08487337440109514
0,dog,Neutered,normal,stray,0.9965776865160849
0,dog,Male,normal,stray,3.0006844626967832
0,dog,Spayed,normal,owner surrender,1.5879534565366187
1,cat,Spayed,ill mild,stray,1.998631074606434
1,guinea pig,Female,normal,owner surrender,0.1806981519507187
1,guinea pig,Female,normal,owner surrender,0.1806981519507187
1,cat,Neutered,normal,owner surrender,5.73305954825462
1,dog,Neutered,normal,stray,1.002053388090349
0,dog,Male,normal,owner surrender,0.2874743326488706
0,dog,Male,normal,owner surrender,0.16153319644079397
0,dog,Male,normal,owner surrender,0.2874743326488706
0,cat,Unknown,under age/weight,stray,0.08487337440109514
0,cat,Male,injured severe,stray,4
0,cat,Spayed,normal,other,9.322381930184806
1,dog,Spayed,normal,stray,0.999315537303217
0,cat,Female,ill mild,stray,3.0006844626967832
0,cat,Female,under age/weight,stray,0.05475701574264202
0,cat,Unknown,under age/weight,stray,0.06570841889117043
0,dog,Male,normal,stray,4
0,cat,Neutered,feral,stray,3.0006844626967832
0,cat,Unknown,injured severe,stray,3.0006844626967832
0,cat,Neutered,fractious,stray,2.9979466119096507
0,dog,Male,normal,stray,2.001368925393566
0,dog,Female,normal,stray,1.998631074606434
0,dog,Female,normal,stray,0.2518822724161533
1,dog,Neutered,normal,stray,1.9931553730321698
0,cat,Female,normal,stray,0.24914442162902123
0,cat,Female,normal,stray,0.24914442162902123
0,cat,Male,under age/weight,stray,0.05475701574264202
1,cat,Male,under age/weight,stray,0.05475701574264202
0,cat,Male,under age/weight,stray,0.05475701574264202
0,cat,Female,normal,confiscate,5.075975359342916
0,dog,Neutered,other,owner surrender,8
0,cat,Male,normal,stray,0.2518822724161533
1,dog,Spayed,other,stray,4.999315537303217
0,cat,Male,normal,welfare seized,0.5859000684462696
0,dog,Spayed,normal,stray,2.001368925393566
1,cat,Spayed,ill mild,stray,0.15058179329226556
0,cat,Male,fractious,stray,1.998631074606434
0,cat,Spayed,normal,owner surrender,4.999315537303217
0,cat,Female,under age/weight,owner surrender,0.04654346338124572
0,cat,Male,under age/weight,owner surrender,0.04654346338124572
0,cat,Male,under age/weight,owner surrender,0.06570841889117043
0,dog,Male,normal,stray,2.001368925393566
0,cat,Female,normal,owner surrender,0.33675564681724846
0,cat,Female,under age/weight,stray,0.08487337440109514
0,dog,Neutered,injured mild,stray,11.000684462696784
1,dog,Neutered,normal,stray,0.917180013689254
0,dog,Male,normal,stray,1.998631074606434
0,dog,Female,normal,stray,7.025325119780972
0,dog,Female,ill severe,stray,8
1,dog,Neutered,normal,owner surrender,5.618069815195072
1,dog,Neutered,ill severe,stray,4.999315537303217
0,dog,Male,normal,stray,0
0,cat,Female,under age/weight,stray,0.09582477754962354
1,dog,Spayed,normal,stray,7.000684462696783
0,cat,Male,under age/weight,stray,0.06570841889117043
0,cat,Female,under age/weight,stray,0.06570841889117043
0,cat,Female,ill moderate,stray,0.999315537303217
0,dog,Female,injured moderate,stray,4
0,cat,Male,under age/weight,stray,0.08487337440109514
0,cat,Female,under age/weight,stray,0.08487337440109514
0,cat,Male,under age/weight,stray,0.08487337440109514
0,cat,Female,other,stray,0.11498973305954825
1,cat,Neutered,normal,stray,0.49828884325804246
0,cat,Female,under age/weight,stray,0.09856262833675565
0,cat,Male,under age/weight,stray,0.09856262833675565
1,cat,Spayed,normal,stray,0.4161533196440794
0,cat,Male,normal,stray,0.16700889801505817
0,cat,Male,under age/weight,stray,0.01642710472279261
0,cat,Female,under age/weight,stray,0.01642710472279261
1,dog,Spayed,ill severe,owner surrender,12.815879534565367
1,dog,Neutered,normal,stray,1.995893223819302
0,cat,Spayed,normal,stray,1.998631074606434
0,cat,Unknown,under age/weight,stray,0.06023271731690623
0,cat,Neutered,fractious,stray,0.999315537303217
1,dog,Neutered,normal,stray,2.9979466119096507
0,cat,Female,under age/weight,stray,0.03559206023271732
0,cat,Male,under age/weight,stray,0.03559206023271732
1,cat,Spayed,normal,stray,3.0006844626967832
0,cat,Female,normal,stray,0.2080766598220397
0,cat,Unknown,under age/weight,stray,0.08487337440109514
0,dog,Spayed,normal,stray,4.996577686516085
0,dog,Neutered,normal,stray,0.3258042436687201
0,dog,Female,injured severe,stray,4.999315537303217
0,dog,Neutered,normal,stray,0.49828884325804246
0,cat,Neutered,feral,stray,4
1,cat,Neutered,ill mild,stray,0.24914442162902123
