adopted,animal_type,sex,intake_condition,intake_type,age_years,age_scaled
0,dog,Female,normal,welfare seized,3.0006844626967832,0.189925758223632
0,dog,Male,normal,owner surrender,0.04106776180698152,-0.7145379635699817
0,cat,Female,ill severe,stray,0.2518822724161533,-0.6501127030906956
0,dog,Spayed,injured severe,stray,1.998631074606434,-0.11630340197661093
0,dog,Male,normal,stray,4,0.4953182267293386
0,dog,Male,normal,stray,3.0006844626967832,0.189925758223632
0,dog,Female,normal,stray,1.002053388090349,-0.42085917878778145
0,cat,Male,under age/weight,stray,0.16700889801505817,-0.6760501456213172
0,dog,Female,normal,welfare seized,3.0006844626967832,0.189925758223632
0,dog,Male,ill severe,stray,6.997946611909651,1.411495632246459
0,cat,Unknown,injured severe,stray,0.16700889801505817,-0.6760501456213172
0,cat,Unknown,under age/weight,stray,0.04106776180698152,-0.7145379635699817
0,dog,Female,normal,owner surrender,0.16700889801505817,-0.6760501456213172
0,dog,Male,ill mild,stray,9.22655715263518,2.0925626715989116
0,cat,Female,ill mild,stray,0.2080766598220397,-0.6634997702032744
0,dog,Male,normal,stray,4.4955509924709105,0.6467594234403877
0,dog,Female,normal,owner surrender,6.069815195071868,1.1278571477986927
0,cat,Female,under age/weight,stray,0.06570841889117043,-0.707007738319156
0,cat,Female,injured moderate,stray,3.0006844626967832,0.189925758223632
0,dog,Female,normal,stray,4.999315537303217,0.8007106952350455
0,cat,Female,normal,stray,0.75564681724846,-0.4961614312960379
0,dog,Spayed,normal,stray,10.8145106091718,2.5778438544298976
0,dog,Neutered,normal,stray,4.837782340862423,0.7513458852574106
0,cat,Female,under age/weight,stray,0.013689253935660506,-0.7229048805153435
0,cat,Female,injured moderate,stray,3.0006844626967832,0.189925758223632
0,dog,Neutered,other,owner surrender,1.4182067077344285,-0.2936820412182817
0,cat,Female,normal,stray,0.2518822724161533,-0.6501127030906956
0,dog,Spayed,normal,stray,7.000684462696783,1.4123323239409948
0,cat,Male,normal,stray,0.16700889801505817,-0.6760501456213172
0,cat,Unknown,normal,stray,0.2518822724161533,-0.6501127030906956
0,dog,Spayed,normal,stray,12.974674880219029,3.237993601418946
0,cat,Female,normal,stray,1.002053388090349,-0.42085917878778145
0,cat,Unknown,fractious,stray,0.999315537303217,-0.42169587048231766
0,cat,Unknown,under age/weight,stray,0.024640657084188913,-0.7195581137371987
0,dog,Male,normal,stray,8,1.7177247924467018
0,dog,Male,normal,owner surrender,2.001368925393566,-0.11546671028207477
0,cat,Male,normal,owner surrender,1.5030800821355237,-0.26774459868766
0,cat,Spayed,under age/weight,stray,0.10677618069815195,-0.6944573629011133
